"event","IL","IM","IU","HL","HM","HU","DL","DM","DU"
"1",0.864935116839651,0.868323609276932,0.871650722394766,0.894495323496391,0.902768345518998,0.910364156506002,0.904152797869501,0.917523615354826,0.928994646260363
"2",0.740500369430115,0.743368962708912,0.746147020395613,0.904248597164001,0.912327626702514,0.919701151651979,0.902898649942815,0.926012171780875,0.943583860496223
"3",0.671099498168231,0.675632041430476,0.679860999199052,0.850281737348898,0.859334997822242,0.867874096950056,0.882814836365295,0.902984729948335,0.919701151651979
"4",0.524790728313856,0.534005660273528,0.542967145962922,0.73472811557756,0.749940142310085,0.764253923444136,0.8062138407937,0.833264926844723,0.856439682344045
"boost",0.909824724768118,0.916140010249261,0.921996376637025,0.942501705931911,0.952583584969149,0.96087524922069,0.95862175419903,0.974792709346423,0.984655527998395
