"event","IL","IM","IU","HL","HM","HU","DL","DM","DU"
"1",0.80031217362843,0.826895557056604,0.849982001187347,0.812879035074645,0.872330427262259,0.912926265823578,0.773950211302055,0.928042258575717,0.97708583498399
"2",0.707122252188705,0.718698988873998,0.729639763502491,0.750675495484525,0.774620055248678,0.796278211948694,0.822182938221989,0.869164832857927,0.903672361769507
"3",0.540216705769435,0.552871576959494,0.564821940733643,0.675022717793936,0.69774938113074,0.718887406137214,0.779310821600401,0.817521025703774,0.849079187461733
"4",0.451188363905973,0.591711590531814,0.696386570424327,0.369347322601946,0.699446801857086,0.85686971792112,-0.286596037284841,0.678779985210381,0.919781410364283
