"event","IL","IM","IU","HL","HM","HU","DL","DM","DU"
"1",0.89007973063982,0.902112769643926,0.912839148538019,0.916840930056877,0.940645917577537,0.957616663454768,0.913964906327018,0.955329454493896,0.976786006174094
"2",0.845103790115093,0.852865866867411,0.860263950972771,0.873814218294961,0.900095140567903,0.920896645755989,0.898124112927612,0.96181399813332,0.985692909135984
"3",0.772362311616187,0.782910548356076,0.792992447318847,0.835854163606276,0.858958079566927,0.878762033566618,0.861377379711753,0.910929899565112,0.94278847986996
"4",0.633222543348803,0.652637084053564,0.670770433161318,0.782378943134767,0.81403269036993,0.841023677031783,0.816217079913032,0.875546615273545,0.915752804656907
"boost",0.910900361343839,0.930854505346396,0.94633530808727,0.952021390364898,0.982012338476256,0.993255311683819,0.999999957637403,0.999999960704212,0.999999963574618
