"beta","se","low","high","p","model.betas","hr","hr.se","hr.low","hr.high","model.hr","eff","eff.high","eff.low","model.effectiveness","model.concordance","model.ctool.version","model.age.filter","model.input.file","model.input.horizon","model.mode","model.calculated.at","model.path","model.name","variable","2.5pct","97.5pct","or","or.se","or.low","or.high","model.or","beta.D","se.D","low.D","high.D","p.D","model.betas.D","or.D","or.se.D","or.low.D","or.high.D","model.or.D","eff.D","eff.high.D","eff.low.D","model.effectiveness.D","beta.O","se.O","low.O","high.O","p.O","model.betas.O","or.O","or.se.O","or.low.O","or.high.O","model.or.O","eff.O","eff.high.O","eff.low.O","model.effectiveness.O"
-1.15657339570801,0.104627622488722,-1.362,-0.952,0,"-1.16 (-1.36, -0.95)",0.314562216496758,1.11029708370166,0.256147968379159,0.385968314374242,"0.31 (0.26, 0.39)",0.685437783503242,0.743852031620841,0.614031685625758,"0.69 (0.61, 0.74)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusM_first1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.42820704497931,0.708538793365796,-2.817,-0.039,0.0438305583248415,"-1.43 (-2.82, -0.04)",0.239738377259102,2.03102134748108,0.0597850290322364,0.961750709146367,"0.24 (0.06, 0.96)",0.760261622740898,0.940214970967764,0.0382492908536333,"0.76 (0.04, 0.94)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusM_first2plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.10844093178079,0.33421959069991,-3.763,-2.453,0,"-3.11 (-3.76, -2.45)",0.0446705455061041,1.39684984513403,0.0232139938259057,0.0860350936729816,"0.04 (0.02, 0.09)",0.955329454493896,0.976786006174094,0.913964906327018,"0.96 (0.91, 0.98)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusM1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-3.26528627380698,0.500762191782818,-4.247,-2.284,7.00114410889796e-11,"-3.27 (-4.25, -2.28)",0.0381860018666799,1.64997839152754,0.0143070908640161,0.101875887072388,"0.04 (0.01, 0.1)",0.96181399813332,0.985692909135984,0.898124112927612,"0.96 (0.9, 0.99)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusM2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.41833157394398,0.225891079626415,-2.861,-1.976,0,"-2.42 (-2.86, -1.98)",0.0890701004348881,1.25343913278413,0.0572115201300396,0.138622620288247,"0.09 (0.06, 0.14)",0.910929899565112,0.94278847986996,0.861377379711753,"0.91 (0.86, 0.94)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusM3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.08382405305783,0.198934956088259,-2.474,-1.694,0,"-2.08 (-2.47, -1.69)",0.124453384726455,1.22010260307284,0.0842471953430935,0.183782920086968,"0.12 (0.08, 0.18)",0.875546615273545,0.915752804656907,0.816217079913032,"0.88 (0.82, 0.92)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusM4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-17.0521484910202,0.0384949424462424,-17.128,-16.977,0,"-17.05 (-17.13, -16.98)",3.92957883287962e-08,1.03924547230485,3.6425381913215e-08,4.2362597434423e-08,"0 (0, 0)",0.999999960704212,0.999999963574618,0.999999957637403,"1 (1, 1)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusMboost",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-0.970061094784639,0.0405316244549219,-1.05,-0.891,0,"-0.97 (-1.05, -0.89)",0.379059878814289,1.04136424175831,0.349937749111155,0.410245302259044,"0.38 (0.35, 0.41)",0.620940121185711,0.650062250888845,0.589754697740956,"0.62 (0.59, 0.65)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusP_first1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-1.52167214377749,0.33448104542913,-2.177,-0.866,5.38112648085232e-06,"-1.52 (-2.18, -0.87)",0.218346474827332,1.39721510587954,0.113381164428328,0.420630711530312,"0.22 (0.11, 0.42)",0.781653525172668,0.886618835571672,0.579369288469687,"0.78 (0.58, 0.89)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusP_first2plus",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
-2.49524327334308,0.076529549460156,-2.645,-2.345,0,"-2.5 (-2.64, -2.35)",0.0824763846451738,1.07953408951543,0.071005353739637,0.0958472021304986,"0.08 (0.07, 0.1)",0.917523615354826,0.928994646260363,0.904152797869501,"0.92 (0.9, 0.93)",0.919613016558124,"version 10","Age filter: 0-650","Input data/data06.csv","Last date 2021-11-20","D","2021-12-29 05:38:04","D0_plus/environment.Rdata","D0_plus","VaccStatusP1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
